index,pdb_id,uniprot_id,family,true_Em,gpr_pred,gpr_pred_raw,gpr_sigma,pred_4q,pred_q_used,pred_final,quantum_delta,nudge,delta_q_used,abs_err_gpr,abs_err_4q,abs_err_final,complexity_score,used_model,Around_N5_Flexibility,Around_N5_HBondCap,homo_lumo_gap,quantum_polarizability,n5_spin_density,n10_spin_density,st_gap,magnetic_sensitivity_index
0,1AHN,P61949,reductase,-343.5,-299.8804814134229,-299.8804814134229,89.57982925088535,-306.32980862943475,-774.773904273636,-299.8804814134229,-474.89342286021315,0.0,-474.89342286021315,43.6195185865771,37.17019137056525,43.6195185865771,1.598291469681745,hybrid_16q,1.15,3.0,0.03205090702536251,0.5806451612903226,1.3874111240022829e-31,7.77273411134191e-32,0.03205090702536251,8.658738140545895e-31
1,1AKR,P00323,nitroreductase,-310.5,-283.5537784329684,-283.5537784329684,89.57129410326553,-289.01933343833514,-549.5232398487783,-283.5537784329684,-265.9694614158099,0.0,-265.9694614158099,26.946221567031614,21.48066656166486,26.946221567031614,2.9557799828044837,hybrid_8q,1.18,3.0,,,,,,
2,1AKT,P00323,nitroreductase,-297.5,-262.61910406827536,-262.61910406827536,92.03451042035194,-275.83590525278305,-433.9695866808079,-262.61910406827536,-171.35048261253252,0.0,-171.35048261253252,34.88089593172464,21.66409474721695,34.88089593172464,5.076030493215714,hybrid_8q,1.28,5.0,,,,,,
3,1AKW,P00323,nitroreductase,-320.0,-291.826206136249,-291.826206136249,88.98737693089151,-295.31393400423894,-564.8401295396711,-291.826206136249,-273.0139234034221,0.0,-273.0139234034221,28.173793863750973,24.686065995761055,28.173793863750973,2.9607799828044836,hybrid_8q,1.19,3.0,,,,,,
4,1AZL,P00323,nitroreductase,-316.0,-280.68406186088157,-280.68406186088157,91.39682917932484,-280.6834606371829,-536.2217939649729,-280.68406186088157,-255.53773210409133,0.0,-255.53773210409133,35.31593813911843,35.31653936281708,35.31593813911843,2.970779982804484,hybrid_8q,1.21,3.0,,,,,,
5,1B1C,P16435,nitroreductase,-167.5,-187.1166963810259,-187.1166963810259,81.81493854254926,-194.97470723516275,-289.5613625197177,-187.1166963810259,-102.44466613869182,0.0,-102.44466613869182,19.61669638102589,27.474707235162754,19.61669638102589,4.0186527464741655,hybrid_8q,1.36,4.0,,,,,,
6,1B1C,P16435,nitroreductase,-167.5,-187.1166963810259,-187.1166963810259,81.81493854254926,-194.97470723516275,-289.5613625197177,-187.1166963810259,-102.44466613869182,0.0,-102.44466613869182,19.61669638102589,27.474707235162754,19.61669638102589,4.0186527464741655,hybrid_8q,1.36,4.0,,,,,,
7,1B1C,P16435,nitroreductase,-187.5,-187.1166963810259,-187.1166963810259,81.81493854254926,-194.97470723516275,-289.5613625197177,-187.9332076745053,-102.44466613869182,-0.8165112934794215,-102.44466613869182,0.3833036189741108,7.474707235162754,0.4332076745052973,4.0186527464741655,hybrid_8q,1.36,4.0,,,,,,
8,1B1C,P16435,nitroreductase,-192.0,-187.1166963810259,-187.1166963810259,81.81493854254926,-194.97470723516275,-289.5613625197177,-187.9332076745053,-102.44466613869182,-0.8165112934794215,-102.44466613869182,4.883303618974111,2.9747072351627537,4.066792325494703,4.0186527464741655,hybrid_8q,1.36,4.0,,,,,,
9,1B4V,P12676,reductase,-131.0,-161.90776150830487,-161.90776150830487,78.21816582844264,-144.2807412665913,-340.9127882077054,-161.90776150830487,-179.0050266994005,0.0,-179.0050266994005,30.907761508304873,13.280741266591292,30.907761508304873,1.0071761806198618,hybrid_16q,1.54,2.0,0.015786891349336418,0.30927835051546393,1.2076564810635059e-31,7.156473450056587e-28,0.015786891349336418,2.8630724426150604e-27
